EDS,Average
A,0.002136794876
B,0.004650062361
C,0.002769302262
D,0.002755134214
E,0.006455546729
F,0.003630774077
G,0.002445278446
H,0.002074688797
I,0.0007262690926
J,0.005435107762
K,0.003799320803
L,0.001827795202
M,0.04905785952
